video alpha median momentum_threshold picture_threshold objective
/mnt/21FEB03000018264.mpg 0.04 17 2000 60 0.08
/mnt/21FEB03000018264.mpg 0.08 21 2000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 21 2000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 17 2000 60 0.08
/mnt/21FEB03000018264.mpg 0.08 21 2000 60 0.08
/mnt/21FEB03000018264.mpg 0.01 21 4000 40 0.08
/mnt/21FEB03000018264.mpg 0.01 17 4000 50 0.
/mnt/21FEB03000018264.mpg 0.01 21 4000 50 0.0
/mnt/21FEB03000018264.mpg 0.01 13 4000 60 0.0
/mnt/21FEB03000018264.mpg 0.01 17 4000 60 0.
/mnt/21FEB03000018264.mpg 0.01 21 4000 60 0.08
/mnt/21FEB03000018264.mpg 0.02 17 4000 40 0.08
/mnt/21FEB03000018264.mpg 0.02 21 4000 40 0.08
/mnt/21FEB03000018264.mpg 0.02 17 4000 50 0.08
/mnt/21FEB03000018264.mpg 0.02 21 4000 50 0.08
/mnt/21FEB03000018264.mpg 0.02 13 4000 60 0.08
/mnt/21FEB03000018264.mpg 0.02 17 4000 60 0.08
/mnt/21FEB03000018264.mpg 0.04 17 4000 40 0.08
/mnt/21FEB03000018264.mpg 0.04 21 4000 40 0.08
/mnt/21FEB03000018264.mpg 0.04 17 4000 50 0.08
/mnt/21FEB03000018264.mpg 0.04 13 4000 60 0.08
/mnt/21FEB03000018264.mpg 0.08 21 4000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 13 4000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 17 4000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 21 4000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 13 4000 60 0.08
/mnt/21FEB03000018264.mpg 0.08 17 4000 60 0.08
/mnt/21FEB03000018264.mpg 0.01 21 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.01 17 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.01 21 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.01 13 8000 50 0.08
/mnt/21FEB03000018264.mpg 0.02 17 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.02 21 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.02 17 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.02 13 8000 50 0.08
/mnt/21FEB03000018264.mpg 0.04 17 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.04 21 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.04 17 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.04 13 8000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 17 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.08 21 8000 30 0.08
/mnt/21FEB03000018264.mpg 0.08 13 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 17 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 21 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 13 8000 50 0.08
/mnt/21FEB03000018072.mpg 0.04 13 4000 30 0.08
/mnt/21FEB03000018072.mpg 0.04 9 4000 40 0.08
/mnt/21FEB03000018072.mpg 0.01 17 8000 10 0.08
/mnt/21FEB03000018072.mpg 0.01 9 8000 50 0.08
/mnt/21FEB03000018072.mpg 0.01 13 8000 50 0.08
/mnt/21FEB03000018072.mpg 0.01 9 8000 60 0.08
/mnt/21FEB03000018072.mpg 0.02 13 8000 40 0.08
/mnt/21FEB03000018072.mpg 0.02 9 8000 50 0.08
/mnt/21FEB03000018072.mpg 0.02 17 8000 50 0.08
/mnt/21FEB03000018072.mpg 0.02 9 8000 60 0.08
/mnt/21FEB03000018264.mpg 0.04 17 2000 40 0.08
/mnt/21FEB03000018264.mpg 0.04 21 2000 40 0.08
/mnt/21FEB03000018264.mpg 0.04 17 2000 50 0.08
/mnt/21FEB03000018264.mpg 0.04 13 2000 60 0.08
/mnt/21FEB03000018264.mpg 0.08 17 2000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 13 2000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 17 2000 50 0.08
/mnt/21FEB03000018264.mpg 0.08 13 2000 60 0.08
/mnt/21FEB03000018264.mpg 0.04 21 4000 30 0.08
/mnt/21FEB03000018264.mpg 0.08 21 4000 30 0.08
/mnt/21FEB03000018264.mpg 0.08 17 4000 40 0.08
/mnt/21FEB03000018072.mpg 0.01 9 4000 20 0.08
/mnt/21FEB03000018194.mpg 0.04 9 2000 60 0.08
/mnt/21FEB03000018264.mpg 0.08 13 8000 30 0.08
/mnt/21FEB03000018072.mpg 0.01 9 8000 10 0.08
/mnt/21FEB03000018072.mpg 0.02 9 8000 10 0.08
/mnt/21FEB03000018072.mpg 0.01 9 8000 40 0.08
/mnt/21FEB03000018264.mpg 0.08 21 8000 20 0.08
/mnt/21FEB03000018072.mpg 0.02 17 8000 30 0.07
/mnt/21FEB03000018072.mpg 0.02 13 8000 30 0.07
/mnt/21FEB03000018072.mpg 0.02 9 8000 40 0.07
/mnt/21FEB03000018072.mpg 0.08 9 2000 20 0.07
/mnt/21FEB03000018072.mpg 0.08 9 4000 20 0.07
/mnt/21FEB03000018072.mpg 0.08 17 4000 20 0.07
